             [,1]        [,2]        [,3]
 [1,] 0.005025126 0.005025126 0.005025126
 [2,] 0.547738693 0.552763819 0.547738693
 [3,] 0.035175879 0.035175879 0.035175879
 [4,] 0.005025126 0.005025126 0.005025126
 [5,] 0.763819095 0.763819095 0.768844221
 [6,] 0.939698492 0.939698492 0.939698492
 [7,] 0.105527638 0.100502513 0.090452261
 [8,] 0.246231156 0.246231156 0.246231156
 [9,] 0.386934673 0.396984925 0.402010050
[10,] 0.502512563 0.502512563 0.482412060
